fold,primary_precision,meta_precision,coverage,threshold,improvement,trades_taken
1,0.559375,0.5732984293193717,0.18634146341463415,0.55,0.013923429319371738,382
2,0.5106951871657754,0.515979081929111,0.8395121951219512,0.55,0.005283894763335573,1721
3,0.5364963503649635,0.52046783625731,0.08341463414634147,0.55,-0.01602851410765349,171
4,0.49760255727224295,0.5016648168701443,0.8790243902439024,0.55,0.004062259597901352,1802
5,0.5359019264448336,0.6116071428571429,0.10926829268292683,0.55,0.07570521641230932,224
