fold,primary_accuracy,primary_precision,meta_precision,coverage,improvement,trades_taken
1,0.5204878048780488,0.559375,0.6086956521739131,0.07853658536585366,0.049320652173913127,161
2,0.5136585365853659,0.5106951871657754,0.521875,0.7804878048780488,0.011179812834224534,1600
3,0.468780487804878,0.5364963503649635,0.4444444444444444,0.004390243902439025,-0.09205190592051904,9
4,0.504390243902439,0.49760255727224295,0.78,0.024390243902439025,0.2823974427277571,50
5,0.5360975609756098,0.5359019264448336,0.6666666666666666,0.023414634146341463,0.13076474022183304,48
